"continent","country","url_main"
"europe","faroe-islands","https://download.geofabrik.de/europe/faroe-islands"
"europe","finland","https://download.geofabrik.de/europe/finland"
"europe","france","https://download.geofabrik.de/europe/france"
"europe","georgia","https://download.geofabrik.de/europe/georgia"
"europe","germany","https://download.geofabrik.de/europe/germany"
"europe","great-britain","https://download.geofabrik.de/europe/great-britain"
"europe","greece","https://download.geofabrik.de/europe/greece"
"europe","guernsey-jersey","https://download.geofabrik.de/europe/guernsey-jersey"
"europe","hungary","https://download.geofabrik.de/europe/hungary"
"europe","iceland","https://download.geofabrik.de/europe/iceland"
"europe","ireland-and-northern-ireland","https://download.geofabrik.de/europe/ireland-and-northern-ireland"
"europe","isle-of-man","https://download.geofabrik.de/europe/isle-of-man"
"europe","italy","https://download.geofabrik.de/europe/italy"
"europe","kosovo","https://download.geofabrik.de/europe/kosovo"
"europe","latvia","https://download.geofabrik.de/europe/latvia"
"europe","liechtenstein","https://download.geofabrik.de/europe/liechtenstein"
"europe","lithuania","https://download.geofabrik.de/europe/lithuania"
"europe","luxembourg","https://download.geofabrik.de/europe/luxembourg"
"europe","macedonia","https://download.geofabrik.de/europe/macedonia"
"europe","malta","https://download.geofabrik.de/europe/malta"
"europe","moldova","https://download.geofabrik.de/europe/moldova"
"europe","monaco","https://download.geofabrik.de/europe/monaco"
"europe","montenegro","https://download.geofabrik.de/europe/montenegro"
"europe","netherlands","https://download.geofabrik.de/europe/netherlands"
"europe","norway","https://download.geofabrik.de/europe/norway"
"europe","poland","https://download.geofabrik.de/europe/poland"
"europe","portugal","https://download.geofabrik.de/europe/portugal"
"europe","romania","https://download.geofabrik.de/europe/romania"
"russia","","https://download.geofabrik.de/russia/"
"europe","serbia","https://download.geofabrik.de/europe/serbia"
"europe","slovakia","https://download.geofabrik.de/europe/slovakia"
"europe","slovenia","https://download.geofabrik.de/europe/slovenia"
"europe","spain","https://download.geofabrik.de/europe/spain"
"europe","sweden","https://download.geofabrik.de/europe/sweden"
"europe","switzerland","https://download.geofabrik.de/europe/switzerland"
"europe","turkey","https://download.geofabrik.de/europe/turkey"
"europe","ukraine","https://download.geofabrik.de/europe/ukraine"
"europe","alps","https://download.geofabrik.de/europe/alps"
"europe","britain-and-ireland","https://download.geofabrik.de/europe/britain-and-ireland"
"europe","dach","https://download.geofabrik.de/europe/dach"
"north-america","canada","https://download.geofabrik.de/north-america/canada"
"north-america","greenland","https://download.geofabrik.de/north-america/greenland"
"north-america","mexico","https://download.geofabrik.de/north-america/mexico"
"north-america","us","https://download.geofabrik.de/north-america/us"
"north-america","us-midwest","https://download.geofabrik.de/north-america/us-midwest"
"north-america","us-northeast","https://download.geofabrik.de/north-america/us-northeast"
"north-america","us-pacific","https://download.geofabrik.de/north-america/us-pacific"
"north-america","us-south","https://download.geofabrik.de/north-america/us-south"
"north-america","us-west","https://download.geofabrik.de/north-america/us-west"
"south-america","argentina","https://download.geofabrik.de/south-america/argentina"
"south-america","bolivia","https://download.geofabrik.de/south-america/bolivia"
"south-america","brazil","https://download.geofabrik.de/south-america/brazil"
"south-america","chile","https://download.geofabrik.de/south-america/chile"
"south-america","colombia","https://download.geofabrik.de/south-america/colombia"
"south-america","ecuador","https://download.geofabrik.de/south-america/ecuador"
"south-america","guyana","https://download.geofabrik.de/south-america/guyana"
"south-america","paraguay","https://download.geofabrik.de/south-america/paraguay"
"south-america","peru","https://download.geofabrik.de/south-america/peru"
"south-america","suriname","https://download.geofabrik.de/south-america/suriname"
"south-america","uruguay","https://download.geofabrik.de/south-america/uruguay"
"south-america","venezuela","https://download.geofabrik.de/south-america/venezuela"
